Timestep: 379, Current State: 1, Next State: 4, Selected Action: 0
Timestep: 380, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 381, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 382, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 383, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 384, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 385, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 386, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 387, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 388, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 389, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 390, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 391, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 392, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 393, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 394, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 395, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 396, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 397, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 398, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 399, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 400, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 401, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 402, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 403, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 404, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 405, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 406, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 407, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 408, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 409, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 410, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 411, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 412, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 413, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 414, Current State: 4, Next State: 1, Selected Action: 0
Timestep: 415, Current State: 1, Next State: 2, Selected Action: 0
Timestep: 416, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 417, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 418, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 419, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 420, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 421, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 422, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 423, Current State: 4, Next State: 5, Selected Action: 0
Timestep: 424, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 425, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 426, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 427, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 428, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 429, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 430, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 431, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 432, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 433, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 434, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 435, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 436, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 437, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 438, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 439, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 440, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 441, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 442, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 443, Current State: 4, Next State: 5, Selected Action: 0
Timestep: 444, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 445, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 446, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 447, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 448, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 449, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 450, Current State: 2, Next State: 2, Selected Action: 0
